EmployeeID,Age,Gender,MaritalStatus,Department,JobRole,Education,EducationField,BusinessTravel,DistanceFromHome,MonthlyIncome,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,TotalWorkingYears,TrainingTimesLastYear,JobSatisfaction,EnvironmentSatisfaction,WorkLifeBalance,JobInvolvement,RelationshipSatisfaction,OverTime,PerformanceRating,Attrition
E1000,51,Male,Married,Marketing,Marketing Specialist,4,Business,Travel_Rarely,13,7872,17,0,0,26,4,4,4,4,2,3,No,4,No
E1001,55,Female,Single,Operations,Operations Analyst,1,Technical Degree,Travel_Frequently,21,8232,13,6,0,16,6,2,4,4,3,1,No,3,No
E1002,53,Female,Single,Operations,Operations Analyst,1,Human Resources,Travel_Rarely,18,9283,22,3,3,27,5,4,2,1,2,2,No,3,No
E1003,22,Male,Divorced,Sales,Sales Manager,5,Other,Travel_Frequently,20,6422,4,4,4,8,4,4,3,3,1,1,No,3,Yes
E1004,40,Male,Single,Operations,Operations Analyst,5,Life Sciences,Travel_Rarely,23,7491,14,6,1,20,4,2,2,4,3,2,No,4,No
E1005,40,Male,Married,Customer Support,Support Team Lead,2,Business,Travel_Rarely,8,3822,0,0,0,3,2,1,2,1,4,1,Yes,3,No
E1006,38,Female,Single,HR,HR Manager,1,Business,Travel_Rarely,22,5223,7,6,3,16,5,4,4,3,2,4,No,3,No
E1007,42,Male,Married,Sales,Sales Manager,4,Other,Travel_Rarely,1,8210,17,8,1,20,4,3,2,1,2,3,No,2,No
E1008,46,Female,Married,Customer Support,Support Representative,2,Life Sciences,Travel_Rarely,12,4605,8,1,1,9,2,2,3,2,1,3,No,2,No
E1009,39,Male,Married,Operations,Supply Chain Coordinator,3,Life Sciences,Travel_Frequently,3,8878,18,3,1,24,3,1,3,1,3,1,No,2,No
E1010,26,Female,Single,Sales,Account Manager,4,Medical,Travel_Rarely,28,6151,0,0,0,4,1,4,2,2,4,3,No,3,No
E1011,23,Male,Married,Operations,Operations Analyst,5,Marketing,Travel_Rarely,14,5266,1,1,1,5,1,1,3,4,2,3,No,2,No
E1012,21,Female,Divorced,Customer Support,Support Team Lead,5,Marketing,Travel_Rarely,26,4068,3,3,3,6,0,2,4,4,4,2,Yes,2,Yes
E1013,58,Male,Married,Sales,Sales Manager,1,Business,Travel_Frequently,4,5936,2,2,2,5,0,3,4,3,2,4,No,2,Yes
E1014,41,Male,Single,IT,IT Manager,5,Technical Degree,Travel_Frequently,13,10919,19,1,1,23,6,2,3,1,2,4,No,3,No
E1015,58,Female,Married,Operations,Supply Chain Coordinator,5,Other,Non-Travel,29,6533,12,11,4,20,4,1,3,4,3,2,No,3,No
E1016,47,Male,Married,R&D,R&D Manager,2,Medical,Travel_Frequently,11,11111,17,7,7,26,0,3,3,1,3,4,No,2,No
E1017,27,Male,Married,Sales,Account Manager,5,Medical,Travel_Rarely,26,5688,7,7,4,13,3,1,4,1,3,2,No,2,Yes
E1018,54,Male,Single,Customer Support,Support Team Lead,3,Medical,Travel_Rarely,16,5471,3,3,2,7,2,4,2,2,1,1,Yes,3,No
E1019,42,Female,Divorced,R&D,Research Scientist,5,Life Sciences,Travel_Rarely,18,10937,15,2,2,17,4,2,1,3,1,1,No,2,No
E1020,46,Female,Married,HR,HR Specialist,1,Business,Travel_Rarely,26,8065,16,7,1,25,6,4,2,1,2,4,No,3,No
E1021,35,Female,Married,Operations,Ops Manager,5,Human Resources,Travel_Rarely,19,7011,17,1,1,20,6,1,3,2,4,1,Yes,3,No
E1022,22,Male,Married,HR,HR Specialist,2,Human Resources,Travel_Frequently,9,6256,4,1,1,8,4,3,3,4,2,1,No,2,Yes
E1023,25,Female,Single,Sales,Sales Executive,2,Other,Travel_Rarely,25,5594,0,0,0,3,0,3,3,2,1,3,No,2,No
E1024,22,Male,Married,R&D,Lab Technician,1,Life Sciences,Travel_Rarely,10,6099,0,0,0,9,6,4,4,4,2,4,No,3,No
E1025,35,Male,Married,HR,HR Specialist,4,Marketing,Non-Travel,3,4932,0,0,0,8,4,1,4,2,1,1,No,2,No
E1026,53,Female,Married,Marketing,Marketing Specialist,2,Technical Degree,Travel_Frequently,5,9106,16,0,0,20,1,4,4,1,2,1,Yes,3,No
E1027,50,Male,Married,Operations,Supply Chain Coordinator,5,Business,Travel_Frequently,23,6358,4,4,2,11,1,3,1,4,1,3,No,2,No
E1028,50,Male,Divorced,HR,Recruiter,2,Business,Non-Travel,13,5005,5,3,3,8,5,4,4,4,1,4,No,3,No
E1029,32,Male,Single,Sales,Sales Manager,5,Technical Degree,Travel_Rarely,22,6558,7,4,2,14,6,4,3,2,2,4,Yes,3,No
E1030,43,Female,Divorced,Marketing,Brand Manager,1,Life Sciences,Travel_Rarely,7,6948,4,4,4,7,5,3,4,4,2,4,Yes,3,No
E1031,57,Female,Single,Sales,Sales Manager,5,Life Sciences,Travel_Rarely,7,6263,1,1,1,6,0,1,2,1,3,2,No,2,Yes
E1032,44,Female,Married,Marketing,Marketing Manager,1,Technical Degree,Travel_Rarely,15,10319,18,6,6,19,3,1,3,1,4,2,No,3,No
E1033,49,Female,Single,Finance,Financial Analyst,2,Business,Travel_Rarely,2,6611,0,0,0,3,6,2,3,3,1,4,No,2,No
E1034,55,Male,Married,Finance,Financial Analyst,1,Other,Travel_Rarely,16,6799,6,5,5,9,4,1,1,4,1,2,No,1,No
E1035,56,Female,Divorced,R&D,R&D Manager,5,Business,Travel_Frequently,19,7935,8,7,1,10,1,2,2,1,2,4,Yes,2,Yes
E1036,50,Male,Married,Sales,Sales Executive,3,Human Resources,Travel_Rarely,11,7096,8,2,2,15,2,1,3,4,2,4,No,2,No
E1037,54,Female,Single,Sales,Sales Manager,2,Other,Travel_Rarely,9,6154,9,1,1,12,1,2,2,1,4,2,No,3,No
E1038,52,Female,Married,Operations,Ops Manager,5,Medical,Travel_Rarely,18,7663,9,0,0,13,0,3,1,1,3,2,Yes,2,No
E1039,49,Male,Single,R&D,R&D Manager,2,Other,Travel_Rarely,15,5888,0,0,0,4,6,4,2,4,4,4,No,3,Yes
E1040,44,Male,Married,Sales,Account Manager,2,Other,Non-Travel,15,4891,0,0,0,2,1,4,4,2,4,4,Yes,3,No
E1041,58,Male,Married,Sales,Account Manager,3,Medical,Travel_Rarely,22,5304,1,0,0,7,0,4,2,1,1,4,Yes,2,No
E1042,54,Male,Married,IT,IT Support,1,Business,Travel_Frequently,22,9286,11,1,1,13,3,4,4,2,4,3,No,3,No
E1043,43,Female,Married,Operations,Supply Chain Coordinator,4,Other,Travel_Rarely,13,5049,2,0,0,8,0,4,2,2,4,1,Yes,3,Yes
E1044,43,Male,Divorced,Operations,Ops Manager,2,Technical Degree,Travel_Rarely,25,6049,10,6,1,15,2,2,3,1,4,4,Yes,3,Yes
E1045,25,Female,Single,R&D,Research Scientist,4,Marketing,Travel_Rarely,4,5967,0,0,0,5,6,4,3,4,4,3,No,3,Yes
E1046,49,Male,Single,Marketing,Marketing Manager,2,Life Sciences,Travel_Rarely,3,7889,7,0,0,10,4,3,1,1,4,4,Yes,3,Yes
E1047,34,Female,Single,R&D,Lab Technician,3,Life Sciences,Travel_Frequently,26,7073,1,1,0,7,2,2,3,2,3,3,Yes,3,No
E1048,50,Male,Divorced,Operations,Supply Chain Coordinator,5,Other,Travel_Rarely,21,7552,20,5,1,23,4,4,3,4,2,1,No,4,No
E1049,35,Male,Married,Sales,Account Manager,1,Medical,Travel_Frequently,9,6325,3,0,0,3,1,4,3,2,2,1,No,4,No
E1050,28,Male,Divorced,Operations,Ops Manager,4,Human Resources,Travel_Rarely,19,7030,10,10,7,18,4,1,2,4,4,4,No,2,No
E1051,55,Male,Single,Customer Support,Support Representative,3,Other,Travel_Rarely,20,6664,15,7,6,15,4,4,1,1,2,4,Yes,3,No
E1052,22,Male,Divorced,Operations,Ops Manager,5,Life Sciences,Travel_Rarely,1,4883,0,0,0,6,6,4,4,1,2,4,No,3,No
E1053,47,Male,Single,Sales,Account Manager,1,Technical Degree,Non-Travel,25,6329,10,0,0,16,0,4,1,2,3,3,No,3,No
E1054,48,Male,Single,Operations,Operations Analyst,3,Medical,Non-Travel,14,5099,5,5,5,10,2,3,1,2,1,3,No,2,No
E1055,38,Male,Single,R&D,Lab Technician,2,Marketing,Travel_Frequently,12,7988,14,10,3,17,2,1,2,1,3,1,No,2,Yes
E1056,38,Male,Married,IT,IT Manager,4,Life Sciences,Travel_Rarely,3,5497,0,0,0,8,5,2,4,2,4,2,No,3,Yes
E1057,33,Male,Married,Sales,Account Manager,4,Life Sciences,Travel_Rarely,18,6528,7,1,1,14,5,1,3,4,1,2,No,3,Yes
E1058,58,Male,Single,Sales,Sales Manager,5,Human Resources,Non-Travel,19,7856,12,9,6,14,6,4,1,2,1,4,Yes,2,No
E1059,53,Female,Divorced,Sales,Sales Executive,5,Human Resources,Non-Travel,20,4699,0,0,0,6,2,2,2,2,3,1,No,3,No
E1060,51,Male,Divorced,R&D,Lab Technician,1,Marketing,Travel_Frequently,14,10401,18,8,3,23,4,1,4,4,4,3,Yes,2,No
E1061,36,Male,Single,IT,IT Manager,4,Marketing,Travel_Rarely,20,6543,0,0,0,5,1,2,4,1,3,1,No,3,No
E1062,54,Female,Divorced,Finance,Financial Analyst,4,Business,Travel_Rarely,13,11552,22,10,7,25,0,4,4,4,2,3,Yes,2,No
E1063,51,Male,Married,Operations,Ops Manager,3,Life Sciences,Non-Travel,23,7011,6,6,2,7,0,3,4,2,1,2,No,3,No
E1064,35,Male,Married,Sales,Account Manager,4,Human Resources,Travel_Rarely,9,7120,9,9,4,9,1,4,3,3,3,1,Yes,3,No
E1065,38,Female,Single,Sales,Account Manager,1,Human Resources,Travel_Rarely,9,8470,18,10,7,20,3,1,4,4,1,1,No,2,No
E1066,51,Male,Divorced,R&D,Research Scientist,2,Business,Non-Travel,1,6069,2,2,2,9,4,4,3,3,4,1,No,3,No
